user_id,listing_id,auditing_date,due_date,due_amt,term,rate,principal,repay_listing_nunique,listing_date_diff,gender,age,cell_province,id_province,id_city,waiting_day,repay_day_mode,repay_weekday_mode,diff_day_mean,diff_day_min,diff_day_max,diff_day_median,diff_day_mode,diff_day_std,repay_date_nunique,repay_date_radio,label
294494,3763323,2018-06-17,2018-07-17,385.5078,6,8.0,2260,10,22.0,男,31,c02,c17,c17096,623,3.0,2.0,1.148148148148148,0.0,20.0,0.0,0.0,3.879965341872406,25.0,0.8064516129032258,0
762504,3942381,2018-07-07,2018-08-07,199.7496,6,8.3,1170,3,68.0,女,20,c26,c26,c26241,217,11.0,4.0,13.333333333333336,1.0,31.0,15.0,16.0,9.16515138991168,7.0,0.7,13
605621,2002604,2018-01-14,2018-02-14,144.2334,9,7.2,1260,3,22.0,女,23,c04,c11,c11252,165,1.0,1.0,25.0,24.0,26.0,25.0,24.0,1.4142135623730951,3.0,1.0,6
859264,5061341,2018-12-06,2019-01-06,271.2963,9,7.2,2370,2,170.0,男,19,c04,c11,c11184,218,20.0,0.0,30.0,30.0,30.0,30.0,30.0,0.0,3.0,0.25,31
522992,3734344,2018-06-13,2018-07-13,811.5996,9,7.2,7090,12,63.0,女,28,c02,c17,c17291,407,10.0,3.0,12.136363636363635,1.0,31.0,8.0,2.0,10.525684932109801,14.0,0.2,19
189033,4689248,2018-10-19,2018-11-19,394.6893,3,7.2,1170,6,120.0,男,46,c16,c16,c16146,749,15.0,3.0,2.7142857142857144,0.0,31.0,1.0,0.0,6.7464276261059615,17.0,0.5151515151515151,4
53530,3900220,2018-07-03,2018-08-03,385.5078,6,8.0,2260,5,6.0,男,25,c04,c04,c04348,1029,1.0,3.0,0.3,0.0,1.0,0.0,0.0,0.483045891539648,10.0,1.0,0
35696,2888231,2018-04-03,2018-05-03,866.5399,6,8.0,5080,14,23.0,女,31,c14,c14,c14027,1006,14.0,2.0,15.941176470588234,2.0,30.0,16.0,16.0,7.780866885062738,8.0,0.19047619047619047,3
242128,2481923,2018-03-02,2018-04-02,258.7045,9,7.2,2260,4,126.0,男,29,c02,c27,c27180,577,2.0,2.0,0.6666666666666666,0.0,3.0,0.0,0.0,1.2309149097933272,13.0,0.8125,0
707592,4531287,2018-09-26,2018-10-26,244.1383,6,8.3,1430,3,99.0,男,28,c03,c03,c03066,359,18.0,0.0,2.8571428571428568,0.0,18.0,0.0,0.0,6.693991620066745,7.0,0.875,1
476884,2208493,2018-02-03,2018-03-03,248.4021,9,7.2,2170,5,68.0,男,30,c03,c03,c03101,307,15.0,4.0,7.6,0.0,23.0,5.0,3.0,6.609516947986009,12.0,0.5454545454545454,2
23768,3829081,2018-06-24,2018-07-24,258.7045,9,7.2,2260,9,218.0,男,40,c07,c07,c07323,1179,21.0,2.0,2.3823529411764706,0.0,20.0,1.0,1.0,4.8179884264824,32.0,0.8648648648648649,0
445724,3735415,2018-06-13,2018-07-13,509.396,9,7.2,4450,2,238.0,男,37,c22,c01,c01181,468,18.0,5.0,0.6,0.0,2.0,0.0,0.0,0.8944271909999159,5.0,1.0,0
71709,2684386,2018-03-19,2018-04-19,279.749,6,8.0,1640,15,16.0,男,34,c04,c06,c06119,868,18.0,3.0,2.904109589041096,0.0,18.0,1.0,0.0,4.356235580437296,52.0,0.6933333333333334,0
55358,2498913,2018-03-03,2018-04-03,315.94,9,7.2,2760,13,23.0,男,42,c20,c20,c20089,913,29.0,4.0,2.2432432432432434,0.0,12.0,1.0,1.0,2.553922967225621,19.0,0.5,1
133156,2033924,2018-01-18,2018-02-18,144.6564,6,7.2,850,9,1.0,男,30,c01,c01,c01200,687,12.0,1.0,5.166666666666667,0.0,29.0,4.0,0.0,6.357636371316392,10.0,0.3333333333333333,10
780794,2976265,2018-04-10,2018-05-10,89.2874,9,7.2,780,2,81.0,男,29,c21,c21,c21226,98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,0
694644,3069861,2018-04-18,2018-05-18,521.9878,9,7.2,4560,3,182.0,男,38,c25,c25,c25090,198,18.0,0.0,0.25,0.0,1.0,0.0,0.0,0.4629100498862758,8.0,1.0,0
69456,4903656,2018-11-13,2018-12-13,205.077,12,8.6,2350,6,24.0,女,28,c03,c03,c03325,1107,11.0,5.0,4.8125,1.0,11.0,3.0,3.0,3.081531004765867,10.0,0.625,2
329330,3724052,2018-06-12,2018-07-12,220.929,9,7.2,1930,9,34.0,男,46,c04,c04,c04251,587,7.0,0.0,2.4347826086956523,0.0,6.0,2.0,1.0,1.5904855449750883,17.0,0.7391304347826086,2
384743,2699960,2018-03-20,2018-04-20,163.7556,6,8.0,960,2,60.0,女,23,c20,c17,c17096,442,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,0
411376,3388426,2018-05-14,2018-06-14,634.1695,9,7.2,5540,14,15.0,女,38,c20,c20,c20231,415,20.0,1.0,6.310344827586207,0.0,31.0,0.0,0.0,10.227597506560418,42.0,0.6461538461538462,0
767790,3987496,2018-07-13,2018-08-13,133.9311,9,7.2,1170,2,187.0,女,25,c01,c01,c01197,192,6.0,0.0,1.8333333333333333,0.0,6.0,1.0,0.0,2.3166067138525412,6.0,1.0,8
537076,3933529,2018-07-06,2018-08-06,242.8857,3,7.2,720,9,19.0,女,21,c26,c26,c26259,295,1.0,5.0,7.5,0.0,22.0,6.5,3.0,6.262131084086767,18.0,0.72,1
202872,3884084,2018-07-01,2018-08-01,477.6203,6,8.0,2800,19,27.0,女,25,c31,c31,c31288,671,4.0,4.0,4.476190476190476,0.0,30.0,0.0,0.0,8.61330018588496,40.0,0.5128205128205128,0
347262,4884191,2018-11-10,2018-12-10,292.3439,12,8.6,3350,3,90.0,男,26,c17,c17,c17133,708,11.0,5.0,13.4,0.0,31.0,6.0,0.0,15.80506248010428,5.0,0.29411764705882354,1
274389,3587022,2018-05-31,2018-06-30,212.8083,3,8.0,630,1,,男,25,c26,c26,c26105,606,,,,,,,,,,,26
355670,2064230,2018-01-21,2018-02-21,374.405,6,7.2,2200,26,9.0,男,42,c11,c05,c05015,415,21.0,0.0,3.7159090909090913,0.0,31.0,1.0,0.0,7.005660869719972,52.0,0.4094488188976378,1
350115,4538814,2018-09-27,2018-10-27,1510.9266,6,8.3,8850,14,17.0,男,34,c20,c20,c20089,435,1.0,0.0,0.6507936507936508,0.0,5.0,0.0,0.0,1.1522590736732183,53.0,0.803030303030303,5
464339,2995187,2018-04-12,2018-05-12,197.8712,6,8.0,1160,5,34.0,女,21,c25,c25,c25332,375,12.0,1.0,1.0,0.0,5.0,1.0,0.0,1.3587324409735149,14.0,1.0,14
873193,4518465,2018-09-25,2018-10-25,485.7714,3,7.2,1440,2,80.0,男,32,c04,c06,c06266,115,6.0,0.0,15.5,1.0,30.0,15.5,1.0,20.506096654409877,2.0,1.0,32
509291,3493333,2018-05-22,2018-06-22,310.9899,6,8.6,1820,12,4.0,女,34,c29,c29,c29128,385,21.0,2.0,5.282051282051282,0.0,28.0,2.0,1.0,8.003120174258083,18.0,0.35294117647058826,2
747770,2619072,2018-03-13,2018-04-13,159.1147,9,7.2,1390,3,29.0,男,23,c26,c26,c26057,101,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.5,3
477003,4577888,2018-10-02,2018-11-02,199.7496,6,8.3,1170,2,200.0,男,29,c02,c27,c27151,548,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.8333333333333334,32
798438,4712899,2018-10-21,2018-11-21,477.6203,6,8.0,2800,3,57.0,男,27,c12,c12,c12007,261,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0
843749,4916871,2018-11-15,2018-12-15,1905.9783,3,7.2,5650,3,40.0,男,27,c04,c04,c04152,227,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0
38144,2796894,2018-03-28,2018-04-28,851.1878,6,8.0,4990,8,41.0,男,26,c31,c31,c31001,1000,2.0,3.0,4.730769230769232,1.0,14.0,4.0,3.0,3.0140695719600408,20.0,0.7692307692307693,4
385691,4468141,2018-09-18,2018-10-18,762.3913,3,7.2,2260,9,22.0,男,22,c14,c18,c18061,624,1.0,5.0,3.8484848484848486,0.0,26.0,2.0,1.0,5.460776113115768,18.0,0.5454545454545454,1
234718,3428165,2018-05-17,2018-06-17,478.446,6,8.6,2800,7,246.0,女,22,c04,c04,c04348,653,6.0,2.0,7.25,0.0,13.0,8.0,0.0,5.439056290693573,6.0,0.6666666666666666,0
